time,sensorId,dataCaptureRate,online,fault
2024-07-18 23:59:12+00:00,0,100,True,False
2024-07-18 23:59:12+00:00,1,100,True,False
2024-07-18 23:58:11+00:00,0,100,True,False
2024-07-18 23:58:11+00:00,1,100,True,False
2024-07-18 23:57:10+00:00,0,100,True,False
2024-07-18 23:57:10+00:00,1,100,True,False
2024-07-18 23:56:09+00:00,0,100,True,False
2024-07-18 23:56:09+00:00,1,100,True,False
2024-07-18 23:55:08+00:00,0,100,True,False
2024-07-18 23:55:08+00:00,1,100,True,False
2024-07-18 23:54:07+00:00,0,100,True,False
2024-07-18 23:54:07+00:00,1,100,True,False
2024-07-18 23:53:06+00:00,0,100,True,False
2024-07-18 23:53:06+00:00,1,100,True,False
2024-07-18 23:52:05+00:00,0,100,True,False
2024-07-18 23:52:05+00:00,1,100,True,False
2024-07-18 23:51:04+00:00,0,100,True,False
2024-07-18 23:51:04+00:00,1,100,True,False
2024-07-18 23:50:03+00:00,0,100,True,False
2024-07-18 23:50:03+00:00,1,100,True,False
2024-07-18 23:49:02+00:00,0,100,True,False
2024-07-18 23:49:02+00:00,1,100,True,False
2024-07-18 23:48:01+00:00,0,100,True,False
2024-07-18 23:48:01+00:00,1,100,True,False
2024-07-18 23:47:00+00:00,0,100,True,False
2024-07-18 23:47:00+00:00,1,100,True,False
2024-07-18 23:45:59+00:00,0,100,True,False
2024-07-18 23:45:59+00:00,1,100,True,False
2024-07-18 23:44:58+00:00,0,100,True,False
2024-07-18 23:44:58+00:00,1,100,True,False
2024-07-18 23:43:57+00:00,0,100,True,False
2024-07-18 23:43:57+00:00,1,100,True,False
2024-07-18 23:42:56+00:00,0,100,True,False
2024-07-18 23:42:56+00:00,1,100,True,False
2024-07-18 23:41:55+00:00,0,100,True,False
2024-07-18 23:41:55+00:00,1,100,True,False
2024-07-18 23:40:54+00:00,0,100,True,False
2024-07-18 23:40:54+00:00,1,100,True,False
2024-07-18 23:39:53+00:00,0,100,True,False
2024-07-18 23:39:53+00:00,1,100,True,False
2024-07-18 23:38:52+00:00,0,100,True,False
2024-07-18 23:38:52+00:00,1,100,True,False
2024-07-18 23:37:51+00:00,0,100,True,False
2024-07-18 23:37:51+00:00,1,100,True,False
2024-07-18 23:36:50+00:00,0,100,True,False
